state,date,icubeds,totalicubeds
IA,9/29/20,509,707
AK,9/30/20,104,128
IA,9/30/20,500,707
AK,10/1/20,103,138
IA,10/1/20,508,710
AK,10/2/20,97,138
IA,10/2/20,498,710
AK,10/3/20,96,138
IA,10/3/20,489,712
AK,10/4/20,85,137
IA,10/4/20,470,713
AK,10/5/20,85,139
IA,10/5/20,472,701
AK,10/6/20,93,139
IA,10/6/20,499,700
AK,10/7/20,100,142
IA,10/7/20,487,701
AK,10/8/20,94,141
IA,10/8/20,500,702
AK,10/9/20,86,137
IA,10/9/20,510,704
AK,10/10/20,87,137
IA,10/10/20,478,704
CO,9/10/20,764,1215
CO,9/11/20,747,1210
CO,9/12/20,714,1207
CO,9/13/20,711,1202
CO,9/14/20,733,1206
CO,9/15/20,770,1203
CO,9/16/20,792,1216
CO,9/17/20,810,1228
CO,9/18/20,774,1228
CO,9/19/20,750,1228
CO,9/20/20,727,1211
CO,9/21/20,732,1203
CO,9/22/20,748,1207
CO,9/23/20,794,1204
CO,9/24/20,809,1204
CO,9/25/20,811,1201
CO,9/26/20,794,1203
CO,9/27/20,750,1203
CO,9/28/20,736,1202
CO,9/29/20,795,1206
CO,9/30/20,801,1209
CO,10/1/20,814,1218
CO,10/2/20,803,1219
CO,10/3/20,800,1216
CO,10/4/20,746,1216
CO,10/5/20,744,1222
CO,10/6/20,814,1223
CO,10/7/20,840,1186
CO,10/8/20,835,1184
CO,10/9/20,824,1177
CO,10/10/20,824,1180
AZ,9/10/20,818,1393
AZ,9/11/20,807,1379
AZ,9/12/20,823,1385
AZ,9/13/20,790,1366
AZ,9/14/20,764,1369
AZ,9/15/20,833,1403
AZ,9/16/20,800,1389
AZ,9/17/20,805,1379
AZ,9/18/20,803,1356
AZ,9/19/20,803,1358
AZ,9/20/20,770,1345
AZ,9/21/20,754,1333
AZ,9/22/20,740,1340
AZ,9/23/20,806,1351
AZ,9/24/20,836,1386
AZ,9/25/20,788,1382
AZ,9/26/20,756,1386
AZ,9/27/20,729,1381
AZ,9/28/20,723,1383
AZ,9/29/20,803,1426
AZ,9/30/20,845,1468
AZ,10/1/20,840,1440
AZ,10/2/20,865,1464
AZ,10/3/20,827,1474
AZ,10/4/20,806,1472
AZ,10/5/20,789,1485
AZ,10/6/20,830,1496
AZ,10/7/20,852,1517
AZ,10/8/20,836,1509
AZ,10/9/20,845,1511
AZ,10/10/20,832,1512
DE,9/10/20,112,141
HI,9/10/20,122,100
IL,9/10/20,1926,3348
KY,9/10/20,1087,1543
MA,9/10/20,940,1833
ME,9/10/20,190,277
MN,9/10/20,692,983
MS,9/10/20,538,567
DE,9/11/20,113,142
HI,9/11/20,117,97
IL,9/11/20,1934,3352
KY,9/11/20,1092,1543
MA,9/11/20,962,1833
ME,9/11/20,200,275
MN,9/11/20,696,983
MS,9/11/20,550,572
DE,9/12/20,108,142
HI,9/12/20,125,98
IL,9/12/20,1858,3350
KY,9/12/20,1080,1513
MA,9/12/20,918,1833
ME,9/12/20,194,277
MN,9/12/20,684,970
MS,9/12/20,530,570
DE,9/13/20,101,144
HI,9/13/20,128,94
IL,9/13/20,1819,3347
KY,9/13/20,1052,1521
MA,9/13/20,863,1833
ME,9/13/20,194,278
MN,9/13/20,672,984
MS,9/13/20,498,563
DE,9/14/20,103,144
HI,9/14/20,123,97
IL,9/14/20,1858,3352
KY,9/14/20,1045,1542
MA,9/14/20,861,1833
ME,9/14/20,186,274
MN,9/14/20,642,975
MS,9/14/20,510,562
DE,9/15/20,109,144
HI,9/15/20,128,96
IL,9/15/20,1935,3352
KY,9/15/20,1069,1543
MA,9/15/20,926,1833
ME,9/15/20,214,279
MN,9/15/20,719,993
MS,9/15/20,525,578
DE,9/16/20,110,140
HI,9/16/20,118,90
IL,9/16/20,1970,3354
KY,9/16/20,1109,1543
MA,9/16/20,939,1833
ME,9/16/20,191,278
MN,9/16/20,721,987
MS,9/16/20,530,587
DE,9/17/20,114,140
HI,9/17/20,119,90
IL,9/17/20,1967,3359
KY,9/17/20,1088,1543
MA,9/17/20,964,1833
ME,9/17/20,188,281
MN,9/17/20,736,988
MS,9/17/20,550,586
DE,9/18/20,114,140
HI,9/18/20,122,92
